"city","Can_P","holc_grade"
"Altoona",57.7930707955046,"A"
"Altoona",59.2105200261949,"A"
"Altoona",31.4581443115339,"B"
"Altoona",36.9614876551769,"B"
"Altoona",24.0115836487429,"B"
"Altoona",31.3639930072818,"B"
"Altoona",40.9027216827945,"B"
"Altoona",47.5351423959278,"B"
"Altoona",38.1515498846233,"B"
"Altoona",15.7697004500687,"B"
"Altoona",17.6157176157176,"B"
"Altoona",33.0146077481398,"B"
"Altoona",24.3863268397138,"B"
"Altoona",23.0781519317274,"B"
"Altoona",41.6205204827443,"B"
"Altoona",37.1853029919031,"C"
"Altoona",20.484856448328,"C"
"Altoona",23.4338823759759,"C"
"Altoona",47.712823035912,"C"
"Altoona",26.3315537097886,"C"
"Altoona",21.2726349636148,"C"
"Altoona",38.0999281644898,"C"
"Altoona",31.1766572153751,"C"
"Altoona",20.1215646012717,"C"
"Altoona",25.0107164638573,"C"
"Altoona",16.7413916786227,"D"
"Altoona",41.3614279890669,"D"
"Altoona",11.6103873254754,"D"
"Altoona",34.6659023502729,"D"
"Altoona",46.1529123901056,"D"
"Atlantic City",11.1812095537066,"A"
"Atlantic City",14.7795377036756,"A"
"Atlantic City",1.94806498401498,"B"
"Atlantic City",7.29691171883124,"B"
"Atlantic City",5.85623312754784,"B"
"Atlantic City",6.99698937212086,"B"
"Atlantic City",11.5059141094408,"B"
"Atlantic City",40.3639767970103,"B"
"Atlantic City",44.9857637747043,"B"
"Atlantic City",3.42836535900304,"C"
"Atlantic City",20.1974245094683,"C"
"Atlantic City",38.3423031588555,"C"
"Atlantic City",39.1959558213588,"C"
"Atlantic City",30.665283670515,"C"
"Atlantic City",35.4660869293861,"C"
"Atlantic City",8.55213555320161,"C"
"Atlantic City",3.66991764614909,"C"
"Atlantic City",6.63115384035804,"C"
"Atlantic City",11.15448737528,"C"
"Atlantic City",7.6364645564628,"C"
"Atlantic City",14.8763832047099,"C"
"Atlantic City",14.0078448576184,"C"
"Atlantic City",5.20519842203098,"C"
"Atlantic City",9.0336791952084,"C"
"Atlantic City",10.8367796176289,"D"
"Atlantic City",24.7730809556152,"D"
"Atlantic City",27.4623209522165,"D"
"Aurora",50.6885477901154,"A"
"Aurora",48.1305761551049,"A"
"Aurora",46.231486050778,"B"
"Aurora",43.5965761395647,"B"
"Aurora",41.4494803051584,"B"
"Aurora",16.604418272857,"B"
"Aurora",32.2797205963931,"C"
"Aurora",39.0032590592296,"C"
"Aurora",36.0844646931783,"C"
"Aurora",35.0783486711362,"C"
"Aurora",27.3405437271841,"C"
"Aurora",27.2645861751561,"C"
"Aurora",34.5651426724065,"D"
"Aurora",39.5203448801237,"D"
"Aurora",37.1702895260425,"D"
"Aurora",29.8331493553424,"D"
"Aurora",33.3762564778116,"D"
"Aurora",38.0413230113696,"D"
"Aurora",37.9641483913323,"D"
"Aurora",19.6759903977506,"D"
"Aurora",44.0207563630296,"B"
"Aurora",20.8045156579455,"D"
"Baltimore",56.6924708283458,"A"
"Baltimore",18.5110155046532,"A"
"Baltimore",46.9757260628267,"A"
"Baltimore",59.1375944317121,"A"
"Baltimore",55.7769541902678,"A"
"Baltimore",29.2093609047945,"A"
"Baltimore",72.3353555139659,"B"
"Baltimore",33.2208161922455,"B"
"Baltimore",17.7670964562292,"B"
"Baltimore",25.052533764163,"B"
"Baltimore",45.8101478247784,"B"
"Baltimore",48.1697422203451,"B"
"Baltimore",16.4130152529552,"B"
"Baltimore",29.4519178088439,"B"
"Baltimore",19.5068127582048,"B"
"Baltimore",64.3030856821537,"B"
"Baltimore",71.0479917070911,"B"
"Baltimore",30.3553802923328,"B"
"Baltimore",64.8305336325726,"B"
"Baltimore",58.4589507161973,"B"
"Baltimore",41.9667921342386,"B"
"Baltimore",37.9834263369988,"B"
"Baltimore",39.5016037700952,"B"
"Baltimore",34.2981301027127,"B"
"Baltimore",16.5274810909295,"B"
"Baltimore",27.331127660709,"B"
"Baltimore",40.4701227171585,"B"
"Baltimore",43.8404476069661,"B"
"Baltimore",28.2723200367557,"C"
"Baltimore",5.03864961881191,"C"
"Baltimore",56.9513372045473,"C"
"Baltimore",25.7812684864162,"C"
"Baltimore",20.1261157901141,"C"
"Baltimore",29.2104859956978,"C"
"Baltimore",30.3881423879349,"C"
"Baltimore",35.2305891651973,"C"
"Baltimore",36.575802462516,"C"
"Baltimore",23.5505014414903,"C"
"Baltimore",36.5732155923301,"C"
"Baltimore",32.5316088797051,"C"
"Baltimore",13.615081969358,"C"
"Baltimore",34.3899783675258,"C"
"Baltimore",43.5912906941991,"C"
"Baltimore",40.9851254072832,"C"
"Baltimore",7.89000285373426,"C"
"Baltimore",12.5562773148358,"C"
"Baltimore",17.6275436201604,"C"
"Baltimore",18.7543026138283,"C"
"Baltimore",14.5684909262711,"C"
"Baltimore",27.3725476813084,"C"
"Baltimore",21.1795825242564,"C"
"Baltimore",4.37403216200119,"D"
"Baltimore",26.7578558116926,"D"
"Baltimore",9.19681891610606,"D"
"Baltimore",4.95935471407961,"D"
"Baltimore",14.7560141295878,"D"
"Baltimore",8.65882599150851,"D"
"Baltimore",15.7059153566785,"D"
"Baltimore",7.3974714732363,"D"
"Baltimore",3.48378007835498,"D"
"Boston",31.2739523727716,"B"
"Boston",45.1609904307939,"B"
"Boston",31.4729558833889,"B"
"Boston",38.6061026281473,"B"
"Boston",38.2139450987663,"B"
"Boston",56.8220800687016,"B"
"Boston",42.7204909257964,"B"
"Boston",57.1433861454228,"B"
"Boston",25.5269832586616,"B"
"Boston",25.4065028048088,"C"
"Boston",22.5072056321166,"C"
"Boston",34.9566240094649,"C"
"Boston",33.6951510553818,"C"
"Boston",32.9132287544423,"C"
"Boston",34.4386549775017,"C"
"Boston",39.2822607420296,"C"
"Boston",36.1986415549523,"C"
"Boston",37.7002195441894,"C"
"Boston",45.254196319675,"C"
"Boston",10.9675941104133,"C"
"Boston",15.2425948292788,"C"
"Boston",19.1014867485456,"C"
"Boston",24.9893467702033,"C"
"Boston",18.0989744307852,"C"
"Boston",14.625647829512,"C"
"Boston",22.159015594818,"C"
"Boston",29.3568511400872,"C"
"Boston",14.6007109560463,"D"
"Boston",12.6199234395318,"D"
"Boston",12.3514296523128,"D"
"Boston",16.2964375311756,"D"
"Boston",17.5078375758553,"D"
"Boston",12.0852072128979,"D"
"Boston",11.0217898242733,"D"
"Boston",7.97015708332119,"D"
"Boston",15.4028453029326,"D"
"Boston",18.4705789466479,"D"
"Boston",24.660933692222,"D"
"Boston",20.5823288521674,"D"
"Cambridge",52.1857008436598,"A"
"Cambridge",52.3677916326063,"B"
"Cambridge",56.7253266453223,"B"
"Cambridge",48.7919006230584,"B"
"Cambridge",56.9794093896229,"B"
"Cambridge",51.2965756478298,"B"
"Cambridge",50.2351905176617,"B"
"Cambridge",56.3331038730481,"B"
"Cambridge",25.5628646661162,"C"
"Cambridge",34.3938014095261,"C"
"Cambridge",33.4234844198307,"C"
"Cambridge",30.7434540382382,"C"
"Cambridge",36.3583537360151,"C"
"Cambridge",40.9816687579462,"C"
"Cambridge",20.7903326056718,"D"
"Cambridge",22.4783448453251,"D"
"Camden",46.287417967756,"A"
"Camden",48.5359374415385,"A"
"Camden",28.3777221143032,"A"
"Camden",56.5655599911406,"A"
"Camden",30.92108806621,"B"
"Camden",42.7157127204059,"B"
"Camden",51.5818130734278,"B"
"Camden",27.1929150792675,"B"
"Camden",52.5051269549725,"B"
"Camden",25.9052399253786,"B"
"Camden",41.8639678152568,"B"
"Camden",19.9989829105863,"B"
"Camden",28.2298824065454,"B"
"Camden",38.720808271433,"B"
"Camden",31.689402539718,"B"
"Camden",22.0487059080485,"B"
"Camden",39.6127354742087,"B"
"Camden",21.4727893939217,"B"
"Camden",34.1425900535959,"B"
"Camden",38.2069163090753,"C"
"Camden",33.0394412119557,"C"
"Camden",22.3200473392789,"C"
"Camden",32.232882365078,"C"
"Camden",36.3334541834505,"C"
"Camden",21.6823460514103,"C"
"Camden",35.8141070660481,"C"
"Camden",10.1516362861102,"C"
"Camden",20.7965195536822,"C"
"Camden",23.7397596716502,"C"
"Camden",31.1043648342278,"C"
"Camden",18.8106881600856,"C"
"Camden",31.8586850617328,"C"
"Camden",34.85597721592,"D"
"Camden",23.6203496099974,"D"
"Camden",12.7136099341245,"D"
"Camden",29.1185467257632,"D"
"Camden",14.4241020579835,"D"
"Camden",19.7155201027603,"D"
"Charlotte",65.6298236775819,"A"
"Charlotte",62.5774558712455,"A"
"Charlotte",61.4743125562769,"A"
"Charlotte",62.876913143064,"B"
"Charlotte",50.5578375227372,"B"
"Charlotte",48.9399199087219,"B"
"Charlotte",41.3869774332909,"B"
"Charlotte",55.1787050380925,"B"
"Charlotte",28.2270497547302,"B"
"Charlotte",45.2799051987096,"B"
"Charlotte",52.0099867036652,"C"
"Charlotte",46.0722501994068,"C"
"Charlotte",34.0056073292047,"C"
"Charlotte",56.8798511348333,"C"
"Charlotte",32.1071473374105,"C"
"Charlotte",45.4095678622156,"C"
"Charlotte",56.5836068963735,"C"
"Charlotte",45.0297225403081,"C"
"Charlotte",19.4054660553255,"C"
"Charlotte",35.4411811856744,"C"
"Charlotte",27.6651787532954,"C"
"Charlotte",17.5841421236268,"C"
"Charlotte",31.5542720160996,"C"
"Charlotte",39.6087348905935,"D"
"Charlotte",46.8094223443159,"D"
"Charlotte",13.2916261448914,"D"
"Charlotte",20.5914373921035,"D"
"Charlotte",16.276072350392,"D"
"Charlotte",48.553078900355,"D"
"Charlotte",16.6200211537039,"D"
"Charlotte",34.2249459534902,"D"
"Charlotte",35.9387144921247,"D"
"Charlotte",11.0685141766822,"D"
"Charlotte",17.0264535560972,"D"
"Chelsea",14.7018754528694,"C"
"Chelsea",13.5135954877592,"C"
"Chelsea",15.2986540657835,"C"
"Chelsea",11.8576870448145,"C"
"Chelsea",8.69316604228,"D"
"Chicago",58.8907202919586,"A"
"Chicago",59.0918806980525,"A"
"Chicago",60.8870520359481,"A"
"Chicago",57.7829698680899,"A"
"Chicago",60.8003622621068,"A"
"Chicago",54.7801595994367,"A"
"Chicago",59.3716245959211,"A"
"Chicago",57.0316560401228,"A"
"Chicago",59.5884770618677,"A"
"Chicago",47.6245203953534,"A"
"Chicago",51.0319124777922,"A"
"Chicago",57.1960908174298,"A"
"Chicago",50.1914519300424,"A"
"Chicago",49.417196380924,"A"
"Chicago",51.174510742655,"A"
"Chicago",56.8027855716488,"A"
"Chicago",44.3011000403156,"A"
"Chicago",54.4835596819201,"A"
"Chicago",64.0341834436398,"A"
"Chicago",42.6736606389669,"A"
"Chicago",49.4044503751971,"A"
"Chicago",40.0995187236841,"A"
"Chicago",66.178784849967,"A"
"Chicago",11.9207802653797,"A"
"Chicago",35.9471099715488,"A"
"Chicago",45.5425304245057,"A"
"Chicago",50.5434899127415,"A"
"Chicago",19.2584221618155,"A"
"Chicago",66.1647481988615,"A"
"Chicago",35.9770138493764,"A"
"Chicago",52.2801344454973,"A"
"Chicago",65.1144715820812,"A"
"Chicago",70.1498532747633,"A"
"Chicago",60.1066311598306,"A"
"Chicago",69.0812652650046,"A"
"Chicago",55.4352744030163,"A"
"Chicago",62.5752695700882,"A"
"Chicago",63.130563034866,"B"
"Chicago",64.1907476743642,"B"
"Chicago",24.3393795412418,"B"
"Chicago",51.1607077307099,"B"
"Chicago",54.0362001699453,"B"
"Chicago",48.9303972414048,"B"
"Chicago",44.9472806434528,"B"
"Chicago",51.0636002910012,"B"
"Chicago",62.5607279778596,"B"
"Chicago",22.5848885494726,"B"
"Chicago",21.1588098248013,"B"
"Chicago",43.6647153256387,"B"
"Chicago",53.9623474410688,"B"
"Chicago",16.1466115293045,"B"
"Chicago",21.6656712003049,"B"
"Chicago",32.2197398985042,"B"
"Chicago",8.58180990238025,"B"
"Chicago",13.9591736576538,"B"
"Chicago",14.638794537191,"B"
"Chicago",29.2717168500419,"B"
"Chicago",21.8852637329169,"B"
"Chicago",24.599941572922,"B"
"Chicago",19.1177354964357,"B"
"Chicago",58.6434282714033,"B"
"Chicago",21.6476454721467,"B"
"Chicago",24.6985088519831,"B"
"Chicago",23.8565247261025,"B"
"Chicago",35.6016500394956,"B"
"Chicago",46.2598052267899,"B"
"Chicago",49.1517428731997,"B"
"Chicago",49.8004294679587,"B"
"Chicago",25.6859141117264,"B"
"Chicago",26.3270326714099,"B"
"Chicago",18.6048480087554,"B"
"Chicago",60.4214123006834,"B"
"Chicago",28.4140693942257,"B"
"Chicago",30.0096096645769,"B"
"Chicago",22.501534099325,"B"
"Chicago",61.8298464555445,"B"
"Chicago",42.1685050024129,"B"
"Chicago",65.4764835022762,"B"
"Chicago",66.1436653219974,"B"
"Chicago",63.6110473589807,"B"
"Chicago",53.7680620530426,"B"
"Chicago",57.0351349148121,"B"
"Chicago",50.7929021713752,"B"
"Chicago",47.2815416313174,"B"
